Player Name,Team,Age,Position,App,MinP,Goals,Assist,YC,RC,SPG,PS%,AW,MOTM,Rating
Martín Montoya,Real Betis,31,   D(LR) M(R),3,186,0,0,0,0,0.0,79.5,0.7,0,6.54
Monchu,Real Valladolid,23,   DMC,15,1205,1,1,7,0,0.9,82.5,0.5,1,6.54
Juanmi,Real Betis,29,   AM(CLR) FW,8,694,4,0,3,0,1.1,84.8,0.5,1,6.54
Unai Simón,Athletic Bilbao,25,   GK,22,1936,0,0,1,0,0.0,68.8,0.0,1,6.53
Pere Milla,Elche,30,   AM(CLR) FW,15,1238,6,1,5,0,1.2,72.5,0.9,2,6.53
Théo Bongonda,Cadiz,27,   AM(LR),14,1079,2,2,0,0,1.3,73.2,0.4,0,6.53
Gumbau,Elche,28,   DMC,19,1682,0,4,9,0,1.0,80.9,0.4,1,6.53
José Gragera,Espanyol,22,   Midfielder,2,215,0,0,1,0,0.2,85.6,1.0,0,6.53
Aïssa Mandi,Villarreal,31,   D(CLR),5,438,0,0,0,0,0.1,90.2,0.4,0,6.53
Rodri,Real Betis,23,   AM(CLR),14,1090,2,1,0,0,0.6,89.9,0.0,1,6.53
Leandro Cabrera,Espanyol,31,   D(CL),21,1829,0,0,4,2,0.8,73.0,2.4,0,6.53
Aimar Oroz,Osasuna,21,   AM(C),13,1165,3,1,5,0,0.8,79.7,0.6,1,6.53
Iván Balliu,Rayo Vallecano,31,   D(R) M(R),25,2183,0,0,5,0,0.2,80.8,0.8,0,6.53
Ivo Grbic,Atletico,27,   GK,2,207,0,0,1,0,0.0,43.0,0.3,0,6.53
Alex Telles,Sevilla,30,   D(L) M(L),9,924,0,2,4,0,0.5,81.3,0.9,0,6.52
Ansu Fati,Barcelona,20,   AM(L) FW,9,925,3,3,2,0,1.9,86.1,0.2,0,6.52
Bryan Gil,Sevilla,22,   AM(CLR),2,269,1,1,1,0,0.8,79.5,0.3,0,6.52
César de la Hoz,Almeria,30,   DMC,12,1112,1,0,5,0,0.4,82.1,0.9,1,6.52
Agustín Marchesín,Celta Vigo,34,   GK,19,1710,0,0,3,0,0.0,67.4,0.2,0,6.52
Edu Expósito,Espanyol,26,   M(C),11,958,2,2,3,0,0.8,78.0,0.6,1,6.51
Martin Valjent,Mallorca,27,   D(C),20,1759,0,0,7,0,0.2,81.8,1.0,0,6.51
Víctor Ruiz,Real Betis,34,   D(C),5,550,0,0,0,0,0.1,85.4,1.8,0,6.51
Juan Iglesias,Getafe,24,   D(LR) M(R),15,1473,1,0,4,0,0.6,63.9,0.5,0,6.51
Hugo Guillamón,Valencia,23,   D(C) DMC,17,1435,1,4,5,0,0.1,83.6,0.9,0,6.51
Ivan Rakitic,Sevilla,35,   M(C),14,1159,1,2,3,1,1.2,84.5,0.8,1,6.51
Edinson Cavani,Valencia,36,   AM(LR) FW,14,957,5,1,4,0,1.9,74.9,0.6,0,6.51
Brian Ocampo,Cadiz,23,   AM(L),15,1129,1,1,2,0,0.7,78.2,0.4,1,6.5
Gastón Álvarez,Getafe,22,   D(L),8,814,2,0,4,1,0.2,66.3,1.6,0,6.5
Youssef En-Nesyri,Sevilla,25,   FW,11,1012,5,0,3,0,1.9,67.8,1.6,0,6.5
Samú Costa,Almeria,22,   M(C),13,1241,1,0,3,0,0.6,79.1,1.3,0,6.5
Rubén Sánchez,Espanyol,22,   M(R),5,583,0,2,1,0,0.5,81.2,0.7,0,6.5
Roque Mesa,Real Valladolid,33,   DMC,15,1247,2,1,6,1,1.0,83.2,0.4,1,6.5
Djené Dakonam,Getafe,31,   D(C),22,1899,0,1,7,0,0.3,79.7,1.8,1,6.49
Mauro Arambarri,Getafe,27,   DMC,10,831,0,1,2,1,0.8,83.6,1.3,0,6.49
Nacho Vidal,Osasuna,28,   D(R),10,916,0,0,2,0,0.6,76.3,1.3,0,6.49
Sergio Akieme,Almeria,25,   D(L),25,2118,1,0,5,0,0.9,80.7,0.6,1,6.49
Rubén García,Osasuna,29,   AM(CLR) FW,6,708,1,2,2,0,0.8,81.7,0.4,0,6.49
Nico González,Valencia,21,   DMC,6,610,1,0,0,0,0.6,90.0,0.8,0,6.49
Luiz Felipe,Real Betis,25,   D(C),13,1037,0,0,1,3,0.1,85.7,0.9,0,6.49
Óscar Rodríguez,Celta Vigo,24,   AM(CLR),14,1288,2,0,5,0,1.4,84.2,0.4,0,6.49
Álvaro Aguado,Real Valladolid,26,   M(C),13,1264,1,2,3,0,0.5,86.1,0.5,0,6.49
Ante Budimir,Osasuna,31,   FW,14,1111,2,0,2,0,1.7,58.4,3.0,0,6.49
Borja Mayoral,Getafe,25,   FW,25,2055,6,1,4,0,1.6,77.5,1.0,2,6.49
Mikel Oyarzabal,Real Sociedad,25,   AM(CLR) FW,6,573,2,1,0,0,1.1,76.9,0.7,1,6.48
Fali,Cadiz,29,   D(C) DMC,16,1277,0,0,5,0,0.3,75.2,1.3,0,6.48
Pablo Ibáñez,Osasuna,24,   M(C),5,429,0,1,0,0,0.6,71.3,1.1,1,6.48
Aritz Elustondo,Real Sociedad,28,   D(CR),12,1031,0,1,4,1,0.4,82.9,0.8,0,6.48
Ander Barrenetxea,Real Sociedad,21,   M(LR),5,403,1,0,3,0,0.2,78.0,0.7,0,6.48
Yunus Musah,Valencia,20,   AM(CR),20,1638,0,2,8,0,0.8,82.6,0.8,0,6.48
Yangel Herrera,Girona,25,   M(C),10,779,2,2,2,0,1.2,81.4,1.1,0,6.48
Jørgen Strand Larsen,Celta Vigo,23,   FW,15,1227,2,3,3,0,1.4,67.9,1.6,1,6.47
Saúl Ñíguez,Atletico,28,   D(CL) M(CLR),7,640,1,1,7,0,0.6,78.6,1.3,0,6.47
Lucas Olaza,Real Valladolid,28,   D(L) M(L),13,1206,0,1,3,0,0.2,80.1,1.2,0,6.47
Fran Beltrán,Celta Vigo,24,   DMC,23,2015,0,1,4,0,0.8,90.0,0.5,0,6.47
Miguel Gutiérrez,Girona,21,   D(L),19,1700,1,2,6,0,0.5,84.6,0.3,0,6.47
Kike Barja,Osasuna,25,   AM(LR),6,559,1,2,1,0,0.3,76.0,0.3,0,6.47
Óscar Gil,Espanyol,24,   D(R),20,1607,0,1,9,0,0.4,78.4,0.4,0,6.47
Ferran Torres,Barcelona,23,   AM(LR) FW,10,987,2,0,4,1,1.5,82.0,0.2,1,6.46
Gorka Guruzeta,Athletic Bilbao,26,   FW,7,664,5,0,1,0,1.6,72.3,0.8,2,6.46
Momo Cho,Real Sociedad,19,   FW,3,345,0,2,1,0,1.1,73.8,0.1,1,6.46
Sergi Gómez,Espanyol,30,   D(CR),16,1526,0,0,0,1,0.3,85.0,1.6,0,6.46
Clerc,Elche,31,   D(L) M(L),19,1583,0,1,1,0,0.3,75.6,0.4,0,6.46
Ángel Correa,Atletico,28,   AM(CLR) FW,9,949,5,0,1,1,1.4,82.0,0.1,1,6.46
Jon Pacheco,Real Sociedad,22,   D(C),8,767,0,0,2,0,0.1,91.0,1.8,0,6.46
Álvaro Negredo,Cadiz,37,   FW,7,557,1,2,0,0,0.9,59.7,1.9,1,6.45
Álvaro Fernández,Espanyol,24,   GK,11,990,0,0,0,0,0.0,61.1,0.3,0,6.45
Erik Lamela,Sevilla,31,   AM(CLR) FW,13,1301,4,0,6,1,1.6,79.8,0.4,0,6.45
Tinotenda Kadewere,Mallorca,27,   AM(R) FW,4,380,1,0,0,0,1.8,67.7,2.3,0,6.45
Denis Suárez,Espanyol,29,   M(CLR),3,311,0,0,0,0,0.2,82.4,0.2,0,6.44
Abdessamad Ezzalzouli,Osasuna,21,   AM(L),11,855,1,2,1,1,1.1,75.2,0.1,1,6.44
Alejandro Pozo,Almeria,24,   D(R) M(R),12,1122,0,2,0,0,0.3,72.2,0.3,0,6.44
Nicolas Jackson,Villarreal,21,   FW,8,796,2,2,1,0,1.1,73.2,0.3,0,6.44
Yassine Bounou,Sevilla,31,   GK,24,1974,0,0,2,0,0.0,73.7,0.2,1,6.44
Dani García,Athletic Bilbao,32,   DMC,10,838,0,1,3,0,0.3,77.4,0.7,0,6.44
Rubén Peña,Osasuna,31,   D(R) M(LR),7,656,0,1,1,1,1.0,73.5,0.7,1,6.44
Kiko Femenía,Villarreal,32,   D(LR) M(R),10,897,0,0,0,0,0.0,88.3,0.6,0,6.44
Pol Lirola,Elche,25,   D(R) M(LR),7,568,1,0,1,0,0.1,77.1,0.9,0,6.43
Momo Mbaye,Cadiz,24,   D(C),6,537,0,0,0,0,0.1,73.4,2.6,0,6.43
Rodrigo Ely,Almeria,29,   D(C),24,2078,0,0,4,1,0.6,80.2,2.2,0,6.43
Lucas Ocampos,Sevilla,28,   M(CLR) FW,5,538,1,0,4,0,1.4,83.2,0.6,0,6.43
Ander Guevara,Real Sociedad,25,   DMC,1,133,0,0,1,0,0.2,90.8,0.4,0,6.43
Nemanja Maksimovic,Getafe,28,   M(C),13,1018,0,0,1,0,0.5,80.6,0.7,0,6.42
Francis Coquelin,Villarreal,31,   M(CLR),9,746,1,0,2,0,0.4,87.4,0.4,0,6.42
Kevin Vázquez,Celta Vigo,29,   D(R),2,178,0,0,0,0,0.0,76.6,0.0,0,6.42
Luca de la Torre,Celta Vigo,24,   M(CL),8,703,0,2,2,0,0.5,84.4,0.1,0,6.42
Fernando Calero,Espanyol,27,   D(C),15,1228,0,0,3,0,0.3,81.3,1.3,0,6.42
Luis Hernández,Cadiz,33,   D(CR),23,2070,0,0,4,1,0.2,79.1,1.1,0,6.42
José Morales,Villarreal,35,   D(R) M(CLR) FW,8,954,4,0,1,0,1.2,70.8,0.3,0,6.42
Iván Martín,Girona,24,   Midfielder,6,605,3,1,0,0,0.8,81.5,0.5,0,6.41
Toni Lato,Valencia,25,   D(L) M(L),6,650,1,0,1,0,0.4,85.5,0.1,1,6.41
Óscar Mingueza,Celta Vigo,23,   D(CR),12,1145,0,0,2,0,0.3,83.8,0.4,0,6.4
Pathé Ciss,Rayo Vallecano,28,   DMC,10,1027,1,0,4,0,0.8,84.4,1.0,1,6.4
Álex Fernández,Cadiz,30,   M(CL) FW,16,1394,3,0,0,0,0.6,86.6,0.5,1,6.4
Filip Jörgensen,Villarreal,20,   Goalkeeper,1,90,0,0,0,0,0.0,80.0,0.0,0,6.4
Srdjan Babic,Almeria,26,   D(C),21,1935,1,0,3,0,0.2,85.7,1.7,0,6.4
Javi Hernández,Girona,24,   D(L),7,588,1,1,2,0,0.5,83.2,0.6,0,6.39
Unai López,Rayo Vallecano,27,   M(CR),9,875,1,2,1,0,0.8,84.5,0.1,1,6.39
Joan Jordán,Sevilla,28,   M(C),16,1354,0,1,5,0,0.6,89.3,0.5,0,6.39
Jesús Navas,Sevilla,37,   D(R) M(R),14,1295,0,0,3,0,0.3,82.9,0.3,0,6.39
Victor Chust,Cadiz,23,   D(C),9,852,1,0,3,0,0.1,83.1,1.5,0,6.39
Carles Pérez,Celta Vigo,25,   AM(CR) FW,14,1283,0,3,2,0,1.3,86.8,0.2,0,6.39
Manu Vallejo,Girona,26,   FW,2,203,0,1,0,0,0.1,81.5,0.0,0,6.39
Javier Puado,Espanyol,24,   AM(LR) FW,16,1478,3,1,3,0,1.7,81.0,0.5,0,6.39
Stefan Mitrovic,Getafe,32,   D(C),11,1039,0,0,3,0,0.1,82.7,1.7,0,6.38
Andoni Gorosabel,Real Sociedad,26,   D(R),10,911,0,0,2,0,0.5,87.0,0.7,1,6.38
Ilaix Moriba,Valencia,20,   M(C),8,742,0,1,2,1,0.9,79.3,1.1,1,6.38
Aihen Muñoz,Real Sociedad,25,   D(L),9,785,0,0,0,0,0.3,82.5,1.1,0,6.38
Joseba Zaldúa,Cadiz,30,   D(R),7,640,0,1,4,0,0.1,70.1,1.9,0,6.38
Raúl García,Athletic Bilbao,36,   M(CLR) FW,5,689,2,2,2,0,1.5,65.6,0.8,0,6.38
Jon Moncayola,Osasuna,24,   D(R) M(C),17,1637,0,0,4,0,1.2,83.6,0.6,0,6.37
Munir El Haddadi,Getafe,27,   AM(LR) FW,3,589,1,1,4,0,1.3,72.5,0.9,0,6.37
Pepe Reina,Villarreal,40,   GK,10,900,0,0,1,0,0.0,83.6,0.0,0,6.37
Matija Nastasic,Mallorca,29,   D(C),8,754,0,0,2,0,0.3,80.9,0.7,0,6.37
Alberto Moreno,Villarreal,30,   D(L) M(L),10,848,0,0,5,0,0.6,83.6,0.6,0,6.37
Joaquín,Real Betis,41,   M(CLR) FW,1,263,0,1,2,0,0.5,87.6,0.0,0,6.36
Unai García,Osasuna,31,   D(C),16,1365,0,1,6,1,0.2,79.8,1.6,0,6.36
Lautaro Blanco,Elche,24,   D(L) M(L),2,273,0,1,1,0,0.0,61.2,0.0,0,6.36
Chumi,Almeria,24,   D(C),10,1015,1,0,4,0,0.1,83.3,0.5,0,6.36
Juan Cruz,Real Betis,22,   Midfielder,1,171,1,0,0,0,1.0,73.3,0.2,0,6.36
Helibelton Palacios,Elche,29,   D(CR),18,1530,0,0,6,0,0.2,77.7,0.9,0,6.35
Gabriel Paulista,Valencia,32,   D(CR),11,878,1,0,2,1,0.8,85.7,2.1,0,6.35
Largie Ramazani,Almeria,22,   FW,12,1185,3,0,4,0,1.4,71.9,0.1,0,6.35
Darko Brasanac,Osasuna,31,   M(CR),8,954,1,1,4,0,0.3,81.5,0.6,0,6.35
José Ángel Carmona,Sevilla,21,   D(CR) M(R),5,529,2,1,4,1,0.5,84.4,0.3,1,6.35
Tanguy Nianzou,Sevilla,20,   D(C),15,1235,1,0,1,1,0.4,88.2,1.6,0,6.34
Kike Salas,Sevilla,20,   D(C),4,370,1,1,1,1,0.5,84.3,1.5,1,6.34
Iddrisu Baba,Mallorca,27,   DMC,13,1089,0,0,4,0,0.4,83.0,1.0,0,6.34
Adnan Januzaj,Sevilla,28,   AM(CLR),1,47,0,0,0,0,0.0,68.2,0.0,0,6.34
Cristhian Stuani,Girona,36,   AM(CLR) FW,5,696,6,0,6,0,1.2,76.0,0.4,0,6.34
Andrés Martín,Rayo Vallecano,23,   Forward,2,145,0,0,1,0,0.6,52.5,0.4,0,6.33
Juan Carlos Martín,Girona,35,   GK,10,900,0,0,0,0,0.0,82.4,0.1,0,6.33
Valery Fernández,Girona,23,   D(R) M(L),5,661,0,2,1,0,0.2,88.8,0.3,0,6.32
Johan Mojica,Villarreal,30,   D(L) M(L),5,562,0,0,0,0,0.1,89.2,0.5,0,6.32
Jesús Vázquez,Valencia,20,   D(L),3,272,0,0,1,0,0.8,85.3,0.3,0,6.32
Carles Aleñá,Getafe,25,   AM(CLR),20,1584,2,2,8,1,1.0,79.4,0.5,1,6.31
Tete Morente,Elche,26,   M(CLR),10,990,1,0,4,0,0.9,81.4,0.7,0,6.31
Zouhair Feddal,Real Valladolid,33,   D(C),4,374,0,0,1,0,0.1,79.9,0.9,0,6.31
Abdul Mumin,Rayo Vallecano,24,   D(C),3,282,0,0,1,0,0.6,78.0,0.8,0,6.31
Pedro Bigas,Elche,32,   D(CL),17,1418,0,0,2,2,0.7,80.1,1.1,0,6.3
Amath Ndiaye,Mallorca,26,   AM(L),3,558,1,0,2,0,0.7,76.6,0.2,0,6.3
Kaiky,Almeria,19,   D(C),6,487,0,0,5,0,0.1,81.3,0.6,0,6.3
Sergio León,Real Valladolid,34,   FW,12,1017,5,1,0,1,1.0,69.4,0.7,1,6.3
Juan Cala,Cadiz,33,   D(C),1,137,0,0,0,0,0.3,78.9,1.0,0,6.3
Diego Moreno,Osasuna,21,   D(R),6,532,0,0,0,0,0.7,69.9,0.6,0,6.29
Papu Gómez,Sevilla,35,   M(CLR) FW,6,666,0,1,4,0,1.2,91.5,0.2,0,6.29
Íñigo Eguaras,Almeria,31,   M(C),9,797,1,1,4,0,0.3,85.3,0.2,0,6.29
Dimitri Foulquier,Valencia,29,   D(CLR) M(R),10,1019,0,1,3,0,0.1,71.1,0.6,0,6.29
Renato Tapia,Celta Vigo,27,   D(C) DMC,9,793,0,0,3,1,0.3,87.5,0.8,0,6.29
Carlos Fernández,Real Sociedad,26,   AM(C) FW,6,406,1,0,5,0,0.9,64.1,1.2,0,6.29
Rafa Mir,Sevilla,25,   FW,10,815,3,0,1,0,2.1,75.0,0.8,1,6.29
Gonzalo Verdú,Elche,34,   D(C),7,546,1,0,0,2,0.5,79.9,1.6,0,6.28
Kike García,Osasuna,33,   FW,5,737,2,0,3,0,1.3,73.5,1.3,0,6.28
Ezequiel Ponce,Elche,25,   AM(L) FW,8,986,3,0,2,0,1.1,76.0,1.3,0,6.28
Franck Kessie,Barcelona,26,   M(C),4,582,0,1,4,0,0.5,86.3,0.2,0,6.27
Lucas Pérez,Cadiz,34,   AM(CR) FW,5,623,3,0,2,0,1.2,83.3,0.1,0,6.27
Reinier,Girona,21,   AM(C),3,342,1,0,1,0,0.4,78.7,0.2,0,6.27
Anthony Lozano,Cadiz,29,   AM(L) FW,12,1191,0,0,3,0,1.1,67.4,2.3,0,6.27
Keidi Bare,Espanyol,25,   DMC,3,328,0,0,0,0,0.4,84.8,0.4,0,6.27
Ander Herrera,Athletic Bilbao,33,   M(C),4,308,0,1,3,1,0.5,87.6,0.3,0,6.27
Oscar Ureña,Girona,19,   Forward,1,99,0,0,0,0,0.3,83.3,0.0,0,6.26
Clément Grenier,Mallorca,32,   M(CL),6,608,0,0,7,0,0.2,79.2,0.2,0,6.26
Raúl de Tomás,Rayo Vallecano,28,   FW,2,222,0,0,1,0,2.3,73.2,0.9,0,6.26
Randy Nteka,Elche,25,   AM(C) FW,3,205,0,0,1,0,0.6,62.7,1.6,0,6.26
Paul Akouokou,Real Betis,25,   DMC,2,280,0,0,2,0,0.3,93.8,0.3,0,6.26
Francisco Portillo,Almeria,32,   M(CLR),2,387,2,0,1,0,0.3,80.5,0.2,0,6.25
Ángel Algobia,Getafe,23,   M(C),11,984,0,0,3,0,0.3,82.1,0.3,0,6.25
José Mari,Cadiz,35,   DMC,2,317,0,0,2,0,0.2,82.6,0.3,0,6.25
Lázaro,Almeria,21,   FW,2,262,1,0,0,0,0.4,79.8,0.0,0,6.25
Ronaël Pierre-Gabriel,Espanyol,24,   D(CLR) M(R),1,164,0,0,0,1,0.2,80.0,0.6,0,6.25
Arnaut Danjuma,Villarreal,26,   AM(L) FW,6,480,2,0,0,0,1.2,74.7,0.0,0,6.24
Bernardo Espinosa,Girona,33,   D(C),10,846,0,1,3,0,0.4,88.5,2.6,0,6.24
Portu,Getafe,30,   M(CLR) FW,10,1061,0,2,3,1,0.5,73.8,0.4,0,6.24
Augusto Solari,Celta Vigo,31,   AM(CR),2,211,0,1,0,0,0.2,79.2,0.4,0,6.23
Mikel Balenziaga,Athletic Bilbao,35,   D(L),1,115,0,0,0,0,0.5,73.1,0.0,0,6.23
Lisandro Magallán,Elche,29,   D(C),5,404,0,0,0,1,0.1,73.1,1.0,0,6.23
Cristhian Mosquera,Valencia,18,   Defender,1,143,0,0,0,0,0.7,84.8,1.0,0,6.22
Marcos André,Valencia,26,   FW,3,427,1,0,2,1,1.1,67.8,0.6,0,6.22
Fede San Emeterio,Cadiz,25,   DMC,14,1091,0,0,7,0,0.2,80.0,0.7,0,6.22
Abner,Real Betis,22,   D(L) M(L),5,367,0,0,2,0,0.4,76.3,0.7,0,6.22
Nicolás Melamed,Espanyol,21,   AM(L),7,501,0,2,3,0,0.5,78.9,0.4,0,6.22
Aleix Vidal,Espanyol,33,   D(R) M(LR),10,882,0,1,4,0,0.2,75.7,0.1,0,6.22
Juanpe,Girona,31,   D(C),11,932,0,0,3,0,0.2,85.1,1.3,0,6.21
Hugo Duro,Valencia,23,   AM(L) FW,8,895,1,0,4,0,1.2,73.8,0.9,0,6.21
Nicolás Fernández Mercau,Elche,23,   M(L),2,320,0,0,2,0,0.2,76.6,0.1,0,6.21
Gonzalo Montiel,Sevilla,26,   D(CR) M(R),11,956,0,1,5,1,0.4,81.4,0.6,0,6.21
Dyego Sousa,Almeria,33,   FW,2,353,0,1,1,0,0.7,70.2,1.0,0,6.2
Benjamin Lecomte,Espanyol,31,   GK,10,900,0,0,1,1,0.0,63.2,0.0,1,6.2
Oier Zarraga,Athletic Bilbao,24,   DMC M(R),4,607,0,0,4,0,0.8,80.0,0.4,0,6.2
Jesús Corona,Sevilla,30,   D(R) M(CLR) FW,1,63,0,0,0,0,0.0,88.2,0.0,0,6.2
Martin Hongla,Real Valladolid,24,   D(C) DMC,5,489,0,0,3,1,0.0,77.3,0.8,0,6.2
Fidel,Elche,33,   M(CLR),9,791,1,1,4,0,0.4,73.6,0.1,0,6.2
Enzo Roco,Elche,30,   D(C),18,1480,0,0,3,1,0.5,82.0,2.1,0,6.2
Gonçalo Paciência,Celta Vigo,28,   FW,4,400,1,0,2,1,1.2,58.8,1.2,0,6.2
Franco Russo,Mallorca,28,   D(C),2,147,0,0,0,0,0.0,76.3,1.0,0,6.19
Gonzalo Villar,Getafe,24,   DMC,2,206,0,0,2,0,0.1,82.1,0.4,0,6.19
Diego González,Elche,28,   D(CL),7,838,0,0,5,0,0.4,81.1,1.3,0,6.19
Robert Navarro,Real Sociedad,20,   Midfielder,1,333,0,0,2,0,0.8,78.2,0.4,0,6.18
Antonio Blanco,Cadiz,22,   Midfielder,2,159,0,0,0,0,0.0,93.4,1.0,0,6.18
Aitor Paredes,Athletic Bilbao,22,   Defender,2,232,0,0,1,0,0.6,85.6,0.3,0,6.18
Iván Alejo,Cadiz,28,   AM(R),8,824,0,1,7,1,0.7,68.9,0.7,0,6.17
Rodrigo Battaglia,Mallorca,31,   M(C),8,686,0,0,5,0,0.1,80.8,0.7,0,6.16
Raúl Guti,Elche,26,   DMC,10,852,0,0,1,0,0.7,82.6,0.3,0,6.16
Abdón Prats,Mallorca,30,   FW,1,251,1,1,0,0,0.3,71.6,0.3,0,6.16
Sergio Asenjo,Real Valladolid,33,   GK,8,720,0,0,0,0,0.0,60.7,0.0,1,6.16
Eden Hazard,Real Madrid,32,   M(CLR) FW,1,98,0,0,0,0,0.7,89.9,0.0,0,6.15
Willian José,Real Betis,31,   FW,2,376,1,0,0,0,0.7,81.5,0.5,0,6.15
Toni Villa,Real Valladolid,28,   AM(CLR),1,91,0,0,0,0,0.0,74.1,0.0,0,6.15
Salvi Sánchez,Rayo Vallecano,31,   AM(R),3,296,0,0,2,0,0.1,61.1,0.1,0,6.14
Radamel Falcao,Rayo Vallecano,37,   FW,3,497,2,0,4,0,1.0,75.6,0.9,0,6.14
Antonio Sánchez,Mallorca,25,   AM(CR),7,647,0,0,4,0,0.5,77.5,0.3,0,6.13
Jaime Seoane,Getafe,26,   M(C),2,300,0,0,0,0,0.1,79.8,0.1,0,6.13
Omar El Hilali,Espanyol,19,   Defender,1,90,0,0,1,0,0.0,57.7,0.4,0,6.13
David Torres,Real Valladolid,20,   Defender,1,100,0,0,0,0,0.0,76.1,1.0,0,6.12
Beñat Turrientes,Real Sociedad,21,   Midfielder,1,102,0,0,0,0,0.0,90.7,0.0,0,6.11
Roger,Elche,32,   FW,8,657,0,1,2,0,0.5,75.7,0.5,0,6.11
Álex Centelles,Almeria,23,   D(L),1,134,0,0,0,1,0.3,71.7,0.0,0,6.11
Arnau Puigmal,Almeria,22,   Midfielder,2,377,0,0,3,0,0.8,76.7,0.1,0,6.1
Josan,Elche,33,   D(R) M(R),3,433,1,0,3,0,0.2,81.7,0.2,0,6.1
Ángel Rodríguez,Mallorca,35,   FW,1,257,0,0,0,0,0.8,75.0,0.7,0,6.1
Santiago Arzamendia,Cadiz,24,   D(L) M(L),4,386,0,0,0,0,0.4,67.9,0.6,0,6.1
José Ángel Pozo,Rayo Vallecano,27,   AM(C),1,79,0,0,0,0,0.1,81.6,0.3,0,6.09
Manu Trigueros,Villarreal,31,   M(CLR) FW,5,462,0,0,2,1,0.4,89.0,0.2,0,6.08
Fabrizio Angileri,Getafe,29,   D(L) M(L),7,544,0,0,2,1,0.3,55.4,1.6,0,6.07
Jordan Amavi,Getafe,29,   D(L) M(L),1,192,0,0,0,1,0.0,50.0,2.0,0,6.07
Mamady Diarra,Cadiz,22,   Forward,1,66,0,0,0,0,1.5,88.9,0.0,0,6.06
Juanjo Narváez,Real Valladolid,28,   Forward,1,147,0,0,0,0,0.6,73.5,0.6,0,6.03
Houboulang Mendes,Almeria,24,   D(CR),9,742,0,1,1,0,0.1,72.0,0.1,0,6.01
Ludwig Augustinsson,Mallorca,28,   D(L) M(L),1,79,0,0,0,0,0.0,70.8,1.0,0,6.01
Arnau Tenas,Barcelona,21,   Goalkeeper,1,1,0,0,1,0,0.0,0.0,0.0,0,6.0
Domingos Quina,Elche,23,   M(CL),2,269,0,0,1,1,0.6,85.3,0.0,0,5.99
Awer Mabil,Cadiz,27,   AM(LR) FW,1,163,0,0,0,0,0.6,72.7,0.2,0,5.99
Kenedy,Real Valladolid,27,   D(L) M(LR),1,81,0,0,1,0,0.3,68.2,0.3,0,5.99
Jaime Mata,Getafe,34,   FW,1,43,0,0,3,0,0.1,72.2,0.2,0,5.98
Pape Cheikh,Elche,25,   DMC,1,33,0,0,0,1,0.0,61.5,0.0,0,5.89
Tomás Alarcón,Cadiz,24,   DMC,2,222,0,0,0,1,0.5,84.3,0.8,0,5.82
John Donald,Elche,22,   D(C),2,151,0,0,0,1,0.0,87.5,0.7,0,5.71
Diego López,Rayo Vallecano,41,   GK,1,90,0,0,0,0,0.0,70.8,0.0,0,4.63
